time,pm2_5,pm10,nitrogen_dioxide,ozone
2026-08-10 00:00:00,7.1,8.9,11.5,35.0
2026-08-10 01:00:00,6.0,7.6,9.6,34.0
2026-08-10 02:00:00,5.1,6.7,8.1,33.0
2026-08-10 03:00:00,4.5,6.2,7.0,32.0
2026-08-10 04:00:00,4.0,5.8,6.2,31.0
2026-08-10 05:00:00,3.9,5.6,6.0,32.0
2026-08-10 06:00:00,4.1,5.6,7.2,31.0
2026-08-10 07:00:00,4.1,5.8,8.8,29.0
2026-08-10 08:00:00,4.9,6.6,9.3,31.0
2026-08-10 09:00:00,4.9,7.1,7.8,40.0
2026-08-10 10:00:00,5.4,9.0,5.2,52.0
2026-08-10 11:00:00,6.3,11.3,3.2,63.0
2026-08-10 12:00:00,7.0,13.0,2.2,71.0
2026-08-10 13:00:00,7.5,14.2,1.8,77.0
2026-08-10 14:00:00,7.4,14.6,2.8,79.0
2026-08-10 15:00:00,7.6,15.4,5.9,73.0
2026-08-10 16:00:00,8.4,14.8,10.4,63.0
2026-08-10 17:00:00,9.8,14.3,17.4,50.0
2026-08-10 18:00:00,10.3,13.8,22.4,42.0
2026-08-10 19:00:00,12.9,16.1,29.1,31.0
2026-08-10 20:00:00,13.3,16.4,32.8,23.0
2026-08-10 21:00:00,12.2,15.2,30.8,22.0
2026-08-10 22:00:00,11.2,14.0,25.8,24.0
2026-08-10 23:00:00,10.0,12.5,21.1,26.0
2026-08-11 00:00:00,8.4,10.7,17.8,26.0
2026-08-11 01:00:00,7.2,9.2,14.8,26.0
2026-08-11 02:00:00,6.2,8.0,12.4,26.0
2026-08-11 03:00:00,5.6,7.5,10.8,26.0
2026-08-11 04:00:00,5.4,7.6,9.9,26.0
2026-08-11 05:00:00,5.3,7.4,10.7,24.0
2026-08-11 06:00:00,5.5,7.4,10.8,25.0
2026-08-11 07:00:00,6.3,8.2,10.7,26.0
2026-08-11 08:00:00,5.5,7.5,10.1,30.0
2026-08-11 09:00:00,5.6,8.2,8.3,39.0
2026-08-11 10:00:00,5.9,9.5,5.8,51.0
2026-08-11 11:00:00,6.9,12.0,3.9,62.0
2026-08-11 12:00:00,7.4,13.4,2.8,71.0
2026-08-11 13:00:00,7.8,14.2,2.4,80.0
2026-08-11 14:00:00,8.1,14.7,2.9,84.0
2026-08-11 15:00:00,8.2,15.0,4.8,82.0
2026-08-11 16:00:00,8.5,13.6,7.7,77.0
2026-08-11 17:00:00,12.6,20.8,18.1,57.0
2026-08-11 18:00:00,14.5,21.1,21.9,50.0
2026-08-11 19:00:00,15.7,21.9,27.0,41.0
2026-08-11 20:00:00,16.0,22.6,29.4,35.0
2026-08-11 21:00:00,14.5,20.4,26.6,34.0
2026-08-11 22:00:00,12.5,17.1,21.0,35.0
2026-08-11 23:00:00,10.2,13.6,16.2,36.0
2026-08-12 00:00:00,8.0,10.5,13.3,35.0
